Key,Japanese,English,Chinese,Korean,French,German,Spanish
audioToText.usageLimitReached,使用時間の制限に達しました！,You have reached your usage limit!,您已达到使用限制！,사용 한도를 초과하셨습니다!,Vous avez atteint votre limite d'utilisation !,Sie haben Ihr Nutzungslimit erreicht!,¡Has alcanzado tu límite de uso!
audioToText.guestModeSubtitle,ゲストモード - 音声文字起こし体験,Guest mode - Audio transcription experience,访客模式 - 音频转录体验,게스트 모드 - 오디오 트랜스크립션 경험,Mode invité - Expérience de transcription audio,Gastmodus – Audio-Transkriptionserfahrung,Modo invitado: experiencia de transcripción de audio
audioToText.remainingTime,残り時間: {{minutes}},Time remaining: {{minutes}},剩余时间: {{minutes}},남은 시간: {{분}},Temps restant : {{minutes}},Verbleibende Zeit: {{Minuten}},Tiempo restante: {{minutos}}
audioToText.outputPlaceholder,文字起こし結果がここに表示されます...\n\n📝 利用可能な機能:\n• 音声ファイルのアップロード\n• リアルタイム音声録音\n• 文字起こしテキストのコピー\n• Word文書へのエクスポート,Transcription results will be displayed here...\n\n📝 Available features:\n• Audio file upload\n• Real-time audio recording\n• Copy transcription text\n• Export to Word document,文字转录结果将在此处显示...\n\n📝 可用功能:\n• 音频文件上传\n• 实时音频录音\n• 文字转录文本复制\n• 导出到Word文档,전사 결과가 여기 표시됩니다...\n\n📝 사용 가능한 기능:\n• 오디오 파일 업로드\n• 실시간 오디오 녹음\n• 전사 텍스트 복사\n• 워드 문서로 내보내기,Les résultats de la transcription s'afficheront ici...\n\n📝 Fonctionnalités disponibles :\n• Téléchargement de fichiers audio\n• Enregistrement audio en temps réel\n• Copier le texte de la transcription\n• Exporter vers un document Word,Die Transkriptionsergebnisse werden hier angezeigt...\n\n📝 Verfügbare Funktionen:\n• Audio-Datei hochladen\n• Audio-Aufnahme in Echtzeit\n• Transkriptions-Text kopieren\n• In Word-Dokument exportieren,Los resultados de la transcripción se mostrarán aquí...\n\n📝 Funciones disponibles:\n• Carga de archivos de audio\n• Grabación de audio en tiempo real\n• Copiar texto de la transcripción\n• Exportar a documento de Word
audioToText.microphoneError,マイクにアクセスできません。権限を確認してください。,Microphone access denied. Please check your permissions.,无法访问麦克风。请确认权限。,마이크 액세스 거부되었습니다. 권한을 확인해 주세요.,Accès au microphone refusé. Veuillez vérifier vos autorisations.,Mikrofonzugriff verweigert. Bitte überprüfen Sie Ihre Berechtigungen.,Acceso al micrófono denegado. Compruebe sus permisos.
audioToText.noRecordingData,録音データがありません。まず音声を録音してください,No recording data available. Please record audio first.,没有录音数据。请先录制音频,녹음 데이터가 없습니다. 먼저 오디오를 녹음해 주세요.,Aucune donnée d'enregistrement disponible. Veuillez d'abord enregistrer l'audio.,Keine Aufnahmedaten verfügbar. Bitte nehmen Sie zuerst Audio auf.,No hay datos de grabación disponibles. Grabe el audio primero.
audioToText.recordingAutoStopped,録音が自動的に停止されました,Recording has been automatically stopped.,录音已自动停止,녹음이 자동으로 중단되었습니다.,L'enregistrement a été automatiquement arrêté.,Die Aufnahme wurde automatisch beendet.,La grabación se ha detenido automáticamente.
audioToText.quotaExhaustedMessage,あなたの利用枠が尽きました。録音時間: {{minutes}} 分,Your usage quota has been exhausted. Recording time: {{minutes}} minutes,您的使用额度已用尽。录音时间: {{minutes}} 分钟,사용량 할당량이 소진되었습니다. 녹음 시간: {{minutes}} 분,Votre quota d'utilisation est épuisé. Durée d'enregistrement : {{minutes}} minutes,Ihr Nutzungskontingent ist aufgebraucht. Aufnahmezeit: {{minutes}} Minuten,Ha agotado su cuota de uso. Tiempo de grabación: {{minutes}} minutos
audioToText.singleRecordingLimitMessage,一回の録音が10分の技術的上限に達しました。録音時間: {{minutes}} 分,The technical limit of 10 minutes per recording has been reached. Recording time: {{minutes}} minutes,单次录音已达到10分钟的技术上限。录音时间: {{minutes}} 分钟,녹음당 10분의 기술적 한도가 초과되었습니다. 녹음 시간: {{minutes}} 분,La limite technique de 10 minutes par enregistrement a été atteinte. Durée d'enregistrement : {{minutes}} minutes,Die technische Begrenzung von 10 Minuten pro Aufnahme wurde erreicht. Aufnahmezeit: {{minutes}} Minuten,Se ha alcanzado el límite técnico de 10 minutos por grabación. Tiempo de grabación: {{minutes}} minutos
audioToText.transcriptionTip,この録音を文字起こしするか、新しい録音を開始できます。文字起こしは残りの利用枠に応じて処理されます。,You can transcribe this recording or start a new recording. Transcription will be processed according to the remaining usage quota.,您可以对本次录音进行文字转录，或开始新的录音。文字转录将根据剩余使用额度进行处理。,이 녹음을 전사하거나 새로운 녹음을 시작할 수 있습니다. 전사는 남은 사용량 할당량에 따라 처리됩니다.,Vous pouvez transcrire cet enregistrement ou commencer un nouvel enregistrement. La transcription sera traitée en fonction du quota d'utilisation restant.,Sie können diese Aufnahme transkribieren oder eine neue Aufnahme starten. Die Transkription wird entsprechend dem verbleibenden Nutzungskontingent verarbeitet.,Puedes transcribir esta grabación o iniciar una nueva. La transcripción se procesará según la cuota de uso restante.
audioToText.completeRecording,録音完了,Recording complete,录音完成,녹음 완료,Enregistrement terminé,Aufnahme abgeschlossen,Grabación completada
audioToText.continueRecording,録音継続,Continue recording,继续录音,녹음 계속,Continuer l'enregistrement,Aufnahme fortsetzen,Continuar grabando
audioToText.reRecord,再録音,Re-record,重新录音,재녹음,Réenregistrer,Neu aufnehmen,Volver a grabar
audioToText.guestUser,ゲストユーザー,Guest user,访客用户,게스트 사용자,Utilisateur invité,Gastbenutzer,Usuario invitado
audioToText.trialUser,試用ユーザー,Trial user,试用用户,트라이얼 사용자,Utilisateur en essai,Testbenutzer,Usuario de prueba
audioToText.paidUser,有料ユーザー,Paid user,付费用户,유료 사용자,Utilisateur payant,Bezahlter Benutzer,Usuario de pago
audioToText.adminUser,管理者,Administrator,管理员,관리자,Administrateur,Administrator,Administrador
audioToText.unknownUser,不明,Unknown,未知,알 수 없음,Inconnu,Unbekannt,Desconocido
audioToText.totalQuotaRemaining,総利用枠残り,Total remaining usage quota,总使用配额剩余,총 남은 사용량 할당량,Quota d'utilisation total restant,Gesamte verbleibende Nutzungsquote,Cuota de uso total restante
audioToText.currentRecording,現在の録音,Current recording,当前录音,현재 녹음,Enregistrement en cours,Aktuelle Aufnahme,Grabación actual
audioToText.userType,ユーザータイプ,User type,用户类型,사용자 유형,Type d'utilisateur,Benutzertyp,Tipo de usuario
audioToText.totalQuota,総利用枠,Total usage quota,总使用配额,총 사용량 할당량,Quota d'utilisation total,Gesamte Nutzungsquote,Cuota de uso total
audioToText.audioDurationWarning,📋 お知らせ：音声時間は{{duration}}分、残り利用枠は{{remaining}}分です。文字起こし時に自動的に切り詰められます。,"📋 Notice: Audio time is {{duration}} minutes, remaining usage quota is {{remaining}} minutes. It will be automatically truncated during transcription.",📋 通知：语音时长为{{duration}}分钟，剩余使用配额为{{remaining}}分钟。转录时将自动截短。,"📋 공지: 오디오 재생 시간은 {{duration}} 분이며, 남은 사용 한도는 {{remaining}} 분입니다. 트랜스크립션 과정에서 자동으로 잘릴 수 있습니다.","📋 Remarque : la durée audio est de {{duration}} minutes, le quota d'utilisation restant est de {{remaining}} minutes. Il sera automatiquement tronqué pendant la transcription.","📋 Hinweis: Die Audiozeit beträgt {{duration}} Minuten, die verbleibende Nutzungsquote beträgt {{remaining}} Minuten. Sie wird während der Transkription automatisch gekürzt.","📋 Aviso: El tiempo de audio es de {{duración}} minutos, la cuota de uso restante es de {{restante}} minutos. Se truncarán automáticamente durante la transcripción."
audioToText.guestTrialComplete,🎉 ゲスト体験が終了しました！アカウント登録で10分間の試用と全機能の体験が可能です。,🎉 Your guest experience has ended! Register for an account to enjoy a 10-minute trial and experience all features.,🎉 访客体验已结束！注册账户即可享受10分钟试用及全部功能体验。,🎉 게스트 경험이 종료되었습니다! 계정을 등록하시면 10분 무료 체험을 즐기시고 모든 기능을 경험해 보세요.,🎉 Votre expérience en tant qu'invité est terminée ! Créez un compte pour profiter d'un essai de 10 minutes et découvrir toutes les fonctionnalités.,"🎉 Ihre Gastnutzung ist beendet! Registrieren Sie sich für ein Konto, um eine 10-minütige Testversion zu nutzen und alle Funktionen zu erleben.",🎉 ¡Tu experiencia como invitado ha finalizado! Regístrate para obtener una cuenta y disfrutar de una prueba de 10 minutos y experimentar todas las funciones.
audioToText.unauthenticated,未認証,Unverified,未认证,미확인,Non vérifié,Nicht,Sin verificar
audioToText.guestQuotaReachedTitle,⏰ ご利用上限に達しましたので、録音を自動停止しました。,⏰ Recording has been automatically stopped because you have reached your usage limit.,⏰ 已达到使用上限，录音已自动停止。,⏰ 사용 한도를 초과하여 녹음이 자동으로 중단되었습니다.,⏰ L'enregistrement a été automatiquement arrêté car vous avez atteint votre limite d'utilisation.,"⏰ Die Aufnahme wurde automatisch beendet, da Sie Ihr Nutzungslimit erreicht haben.",⏰ La grabación se ha detenido automáticamente porque has alcanzado tu límite de uso.
audioToText.trialComplete,🎉 試用期間が終了しました！より多くの時間を購入して、すべての機能をご利用ください。,🎉 Your trial period has ended! Purchase more time to use all features.,🎉 试用期已结束！购买更多时间以使用全部功能。,🎉 체험 기간이 종료되었습니다! 모든 기능을 사용하려면 추가 시간을 구매하세요.,🎉 Votre période d'essai est terminée ! Achetez plus de temps pour utiliser toutes les fonctionnalités.,"🎉 Ihre Testphase ist abgelaufen! Kaufen Sie mehr Zeit, um alle Funktionen nutzen zu können.",🎉 ¡Tu periodo de prueba ha finalizado! Compre más tiempo para utilizar todas las funciones.
audioToText.guestQuotaExhausted,⚠️ 体験時間が終了し、文字起こしができません。登録してより多くの時間を取得してください。,"⚠️ The trial period has ended, and transcription is not possible. Register to get more time.",⚠️ 体验时间已结束，无法进行文字转录。请注册以获取更多时间。,⚠️ 체험 기간이 종료되어 텍스트 변환이 불가능합니다. 추가 시간을 얻으려면 등록하세요.,⚠️ La période d'essai est terminée et la transcription n'est pas possible. Inscrivez-vous pour obtenir plus de temps.,"⚠️ Die Testphase ist abgelaufen und eine Transkription ist nicht möglich. Registrieren Sie sich, um mehr Zeit zu erhalten.",⚠️ El periodo de prueba ha finalizado y no es posible realizar transcripciones. Regístrese para obtener más tiempo.
audioToText.quotaExhaustedGeneral,⚠️ 利用枠が終了し、文字起こしができません。より多くの時間を購入してください。,"⚠️ Your usage quota has ended, and transcription is not possible. Purchase more time.",⚠️ 使用额度已用尽，无法进行文字转录。请购买更多时间。,⚠️ 사용 한도가 종료되어 텍스트 변환이 불가능합니다. 추가 시간을 구매하세요.,⚠️ Votre quota d'utilisation est épuisé et la transcription n'est pas possible. Achetez plus de temps.,⚠️ Ihr Nutzungslimit ist erreicht und eine Transkription ist nicht möglich. Kaufen Sie mehr Zeit.,⚠️ Su cuota de uso ha finalizado y no es posible realizar transcripciones. Compre más tiempo.
audioToText.audioDuration,音声時間,Audio time,音频时长,오디오 시간,Durée audio,Audiozeit,Duración del audio
audioToText.adminMode,管理者モード: 無制限,Administrator mode: Unlimited,管理员模式：无限制,관리자 모드: 무제한,Mode administrateur : illimité,Administratormodus: Unbegrenzt,Modo administrador: ilimitado
audioToText.fileDurationExceedsQuota,ファイル長 {{fileDuration}} が残り時間 {{remainingTime}} を超過しているため、このファイルをアップロードできません。,"The file length {{fileDuration}} exceeds the remaining time {{remainingTime}}, so this file cannot be uploaded.",文件时长 {{fileDuration}} 超出剩余时间 {{remainingTime}}，因此无法上传此文件。,파일 길이 {{fileDuration}}이 남은 시간 {{remainingTime}}을 초과하여 이 파일을 업로드할 수 없습니다.,"La durée du fichier {{fileDuration}} dépasse le temps restant {{remainingTime}}, ce fichier ne peut donc pas être téléchargé.","Die Dateilänge {{fileDuration}} überschreitet die verbleibende Zeit {{remainingTime}}, daher kann diese Datei nicht hochgeladen werden.","La duración del archivo {{fileDuration}} supera el tiempo restante {{remainingTime}}, por lo que no se puede cargar este archivo."
audioToText.fileDurationDetectionFailed,音声ファイルの長さを検出できません。ファイル形式が正しいかご確認ください。,The audio file length cannot be detected. Please check that the file format is correct.,无法检测音频文件时长。请确认文件格式是否正确。,오디오 파일 길이를 감지할 수 없습니다. 파일 형식이 올바른지 확인해 주세요.,La durée du fichier audio ne peut pas être détectée. Veuillez vérifier que le format du fichier est correct.,"Die Länge der Audiodatei kann nicht ermittelt werden. Bitte überprüfen Sie, ob das Dateiformat korrekt ist.",No se puede detectar la duración del archivo de audio. Comprueba que el formato del archivo sea correcto.
audioToText.audioProcessingFailed,音声形式の処理に失敗しました。再録音してください,Audio format processing failed. Please re-record.,音频格式处理失败。请重新录音,오디오 형식 처리 실패. 다시 녹음해 주세요.,Échec du traitement du format audio. Veuillez réenregistrer.,Die Verarbeitung des Audioformats ist fehlgeschlagen. Bitte nehmen Sie die Aufnahme erneut auf.,Error al procesar el formato de audio. Vuelve a grabar.
audioToText.audioDurationDetectionFailed,音声の長さを取得できません。ファイル形式が正しいかご確認ください,The audio length cannot be obtained. Please check that the file format is correct.,无法获取音频长度。请确认文件格式是否正确,오디오 길이를 얻을 수 없습니다. 파일 형식이 올바른지 확인해 주세요.,La durée audio ne peut pas être obtenue. Veuillez vérifier que le format du fichier est correct.,"Die Audiodauer kann nicht ermittelt werden. Bitte überprüfen Sie, ob das Dateiformat korrekt ist.",No se puede obtener la duración del audio. Comprueba que el formato del archivo sea correcto.
audioToText.transcriptionProcessingError,文字起こし処理中に不明なエラーが発生しました,An unknown error occurred during transcription processing.,转录处理中发生未知错误,전사 처리 중 알려지지 않은 오류가 발생했습니다.,Une erreur inconnue s'est produite pendant le traitement de la transcription.,Während der Transkriptionsverarbeitung ist ein unbekannter Fehler aufgetreten.,Se ha producido un error desconocido durante el procesamiento de la transcripción.
audioToText.largeFileProcessingNotice,大きなファイルをセグメント処理しています。数分かかる場合があります...,Processing large files in segments. This may take several minutes...,正在对大型文件进行分段处理。可能需要几分钟时间...,대용량 파일을 세그먼트로 처리 중입니다. 이 과정은 몇 분이 소요될 수 있습니다...,Traitement de fichiers volumineux par segments. Cela peut prendre plusieurs minutes...,Große Dateien werden in Segmenten verarbeitet. Dies kann einige Minuten dauern...,Se están procesando archivos grandes por segmentos. Esto puede tardar varios minutos...
audioToText.browserAudioNotSupported,お使いのブラウザは音声処理 (AudioContext) をサポートしていません,Your browser does not support audio processing (AudioContext).,您使用的浏览器不支持音频处理 (AudioContext),브라우저가 오디오 처리(AudioContext)를 지원하지 않습니다.,Votre navigateur ne prend pas en charge le traitement audio (AudioContext).,Ihr Browser unterstützt keine Audioverarbeitung (AudioContext).,Tu navegador no admite el procesamiento de audio (AudioContext).
audioToText.fileExceedsQuotaWarning,注意：このファイルは {{fileDuration}} を消費し、残り時間制限に近づいています。,Note: This file consumes {{fileDuration}} and is approaching the remaining time limit.,注意：此文件已消耗 {{fileDuration}}，即将达到剩余时间限制。,참고: 이 파일은 {{fileDuration}}을 소비하며 남은 시간 한도에 접근하고 있습니다.,Remarque : ce fichier consomme {{fileDuration}} et approche la limite de temps restante.,Hinweis: Diese Datei verbraucht {{fileDuration}} und nähert sich dem Zeitlimit.,Nota: Este archivo consume {{fileDuration}} y se está acercando al límite de tiempo restante.
audioToText.browserMediaRecorderNotSupported,お使いのブラウザはメディア録画 (MediaRecorder) をサポートしていません,Your browser does not support media recording (MediaRecorder).,您的浏览器不支持媒体录制（MediaRecorder）,브라우저가 미디어 녹화(MediaRecorder)를 지원하지 않습니다.,Votre navigateur ne prend pas en charge l'enregistrement multimédia (MediaRecorder).,Ihr Browser unterstützt keine Medienaufzeichnung (MediaRecorder).,Su navegador no admite la grabación de medios (MediaRecorder).
audioToText.browserGetUserMediaNotSupported,お使いのブラウザはメディアデバイスアクセス (getUserMedia) をサポートしていません,Your browser does not support media device access (getUserMedia).,您的浏览器不支持媒体设备访问（getUserMedia）,브라우저가 미디어 장치 액세스(getUserMedia)를 지원하지 않습니다.,Votre navigateur ne prend pas en charge l'accès aux périphériques multimédias (getUserMedia).,Ihr Browser unterstützt keinen Zugriff auf Mediengeräte (getUserMedia).,Su navegador no admite el acceso a dispositivos multimedia (getUserMedia).
audioToText.recordingDataEmpty,録音データが空です。再録音してください,The recording data is empty. Please re-record.,录音数据为空。请重新录音,녹음 데이터가 비어 있습니다. 다시 녹음해 주세요.,Les données d'enregistrement sont vides. Veuillez réenregistrer.,Die Aufnahmedaten sind leer. Bitte nehmen Sie die Aufnahme erneut auf.,Los datos de la grabación están vacíos. Vuelva a grabar.
meetingMinutes.title,会議議事録生成,Meeting Minutes Generation,会议记录生成,회의록 생성,Génération du compte rendu de réunion,Erstellung von Besprechungsprotokollen,Generación de actas de reuniones
meetingMinutes.subtitle,AIを用いて構造化された会議議事録を生成,Generate structured meeting minutes using AI,使用AI生成结构化会议记录,AI를 사용하여 구조화된 회의록 생성,Générez un compte rendu de réunion structuré à l'aide de l'IA,Erstellen Sie strukturierte Besprechungsprotokolle mit KI,Genere actas de reuniones estructuradas utilizando IA
meetingMinutes.sourceReady,原文準備完了,Original text ready,原文准备完成,원본 텍스트 준비 완료,Texte original prêt,Originaltext bereit,Texto original listo
meetingMinutes.templateConfiguration,テンプレート設定,Template settings,模板设置,템플릿 설정,Paramètres du modèle,Vorlageneinstellungen,Configuración de la plantilla
meetingMinutes.standardTemplateDesc,事前設定された会議議事録テンプレートを使用,Use a pre-set meeting minutes template,使用预设的会议记录模板,사전 설정된 회의록 템플릿 사용,Utilisez un modèle de compte rendu de réunion prédéfini,Verwenden Sie eine voreingestellte Vorlage für Besprechungsprotokolle,Utilice una plantilla de actas de reuniones preestablecida
meetingMinutes.customTemplateDesc,会議議事録の構造と内容をカスタマイズ,Customize the structure and content of the meeting minutes,自定义会议记录的结构和内容,회의록의 구조와 내용을 맞춤 설정,Personnalisez la structure et le contenu du compte rendu de réunion,Passen Sie die Struktur und den Inhalt der Besprechungsprotokolle an,Personalice la estructura y el contenido de las actas de la reunión
meetingMinutes.noSummaryYet,生成された会議議事録がここに表示されます,The generated meeting minutes will be displayed here,生成的会议记录将在此处显示,생성된 회의록은 여기에서 표시됩니다,Le compte rendu de réunion généré s'affichera ici,Die erstellten Besprechungsprotokolle werden hier angezeigt,Las actas de la reunión generadas se mostrarán aquí
